card_number,card_name,card_kind,rarity,has_effect_text,effect_count,action_types,reusable_functions,needs_manual_review,is_bonus_card,notes
001,Dark Angel,CREATURE,Epic,TRUE,1,MANUAL_FALLBACK,manualFallback,TRUE,FALSE,
002,Fire Eleotoid,CREATURE,Common,TRUE,1,DESTROY_MAGIC,destroyMagic,TRUE,FALSE,Specific named-card interaction with Forest Fire requires exact card reference and self-destruction prevention routing.
003,Enlightened Soul,CREATURE,Legendary,TRUE,1,MANUAL_FALLBACK,manualFallback,TRUE,FALSE,Cemetery HP reduction is an exception to normal inactive cemetery effects.
004,Repair Bear,MAGIC,Common,TRUE,1,HEAL,heal,FALSE,FALSE,
005,Comodo,CREATURE,Common,FALSE,0,,,FALSE,FALSE,
006,Ball Demon,MAGIC,Uncommon,TRUE,2,APPLY_STAT_MODIFIER; DAMAGE,applyStatModifier; damage,TRUE,FALSE,End-turn recurring damage from an Infinite Equip requires turn trigger while equipped.
007,Steam Knight Blaster,MAGIC,Uncommon,TRUE,2,NEGATE_CREATURE_EFFECTS; REPLACE_ATTACK_PROFILE,negateCreatureEffects; replaceAttackProfile,TRUE,FALSE,Replaces base attack profile and suppresses equipped creature effect.
008,Cybernetic Upgrade,MAGIC,Legendary,TRUE,2,APPLY_STAT_MODIFIER; SEND_TO_CEMETERY,applyStatModifier; sendToCemetery,TRUE,FALSE,Lightning Equip with battle timing and automatic end-of-battle cleanup.
009,Hoggan,CREATURE,Rare,TRUE,3,DAMAGE; LIMITED_SUMMON; SEND_TO_CEMETERY,damage; limitedSummon; sendToCemetery,TRUE,FALSE,Limited Summon can receive damage and redirects battle from primary creature.
010,Fazard,CREATURE,Epic,TRUE,1,MANUAL_FALLBACK,manualFallback,TRUE,FALSE,
011,Mr. Evil,MAGIC,Common,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,FALSE,
012,Crow,CREATURE,Common,TRUE,3,LIMITED_SUMMON; MOVE_CARD; SUMMON_REQUIREMENT,limitedSummon; moveCard; validateSummonRequirement,TRUE,FALSE,Conditional Limited Summon and cleanup tied to primary creature state.
013,Steam Powered Girl,MAGIC,Epic,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,TRUE,FALSE,
014,Monster Armor,MAGIC,Rare,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,FALSE,
015,The Good Boy,MAGIC,Common,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,FALSE,
016,Exhaustion,MAGIC,Common,TRUE,1,MANUAL_FALLBACK,manualFallback,TRUE,FALSE,
017,Shield of Light,MAGIC,Epic,TRUE,4,DAMAGE; DESTROY_MAGIC; HEAL; ROLL_TABLE,damage; destroyMagic; heal; resolveRollTable,TRUE,FALSE,Damage replacement roll table before any damage.
018,Enchantment,MAGIC,Uncommon,TRUE,1,DAMAGE,damage,TRUE,FALSE,
019,Hell Authority,MAGIC,Uncommon,TRUE,1,PREVENT_CARD_PLAY,preventCardPlay,FALSE,FALSE,
020,Witch’s Cabin,MAGIC,Uncommon,TRUE,1,MANUAL_FALLBACK,manualFallback,TRUE,FALSE,
021,Possessed Dummy,MAGIC,Epic,TRUE,4,LIMITED_SUMMON; MOVE_CARD; NEGATE_CARD_EFFECT; SEND_TO_CEMETERY,limitedSummon; moveCard; negateCardEffect; sendToCemetery,TRUE,FALSE,Opponent-cemetery Limited Summon with source-linked cleanup and opponent ownership.
022,Shapeshifter,CREATURE,Legendary,TRUE,1,MANUAL_FALLBACK,manualFallback,TRUE,FALSE,
023,Order Knight,CREATURE,Uncommon,FALSE,0,,,FALSE,FALSE,
024,Mosquito Man,CREATURE,Rare,TRUE,2,DAMAGE; HEAL,damage; heal,TRUE,FALSE,
025,Wererabbit,CREATURE,Uncommon,FALSE,0,,,FALSE,FALSE,
026,Cabal Warchief,CREATURE,Mythic,TRUE,1,MANUAL_FALLBACK,manualFallback,TRUE,FALSE,Multiple battles and partial return-attack restriction need custom combat support.
027,Doppelganger,MAGIC,Epic,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,FALSE,
028,Catcow,MAGIC,Rare,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,TRUE,FALSE,Switches each creature own base attack dice and modifier for 2 turn cycles.
